TIME ms, IN2,no_offset
2.134,-0.476189,-0.444636892
2.129,-0.797099,-0.765546892
2.124,0.165632,0.197184108
2.119,-0.155278,-0.123725892
2.114,-0.347825,-0.316272892
2.109,-0.732917,-0.701364892
2.104,-0.21946,-0.187907892
2.1,-0.476189,-0.444636892
2.095,0.165632,0.197184108
2.09,0.229815,0.261367108
2.085,-0.026914,0.004638108
2.08,-0.540371,-0.508818892
2.075,-0.026914,0.004638108
2.07,0.293997,0.325549108
2.065,-0.026914,0.004638108
2.061,-0.155278,-0.123725892
2.056,-0.732917,-0.701364892
2.051,-0.412007,-0.380454892
2.046,-0.540371,-0.508818892
2.041,0.422361,0.453913108
2.036,0.293997,0.325549108
2.031,0.165632,0.197184108
2.026,0.229815,0.261367108
2.021,0.293997,0.325549108
2.017,-0.091096,-0.059543892
2.012,-0.026914,0.004638108
2.007,0.486543,0.518095108
2.002,0.807454,0.839006108
1.997,-0.21946,-0.187907892
1.992,0.037268,0.068820108
1.987,0.486543,0.518095108
1.982,0.550725,0.582277108
1.978,0.165632,0.197184108
1.973,0.293997,0.325549108
1.968,0.486543,0.518095108
1.963,-0.091096,-0.059543892
1.958,1.064182,1.095734108
1.953,0.743272,0.774824108
1.948,0.807454,0.839006108
1.943,0.422361,0.453913108
1.938,0.229815,0.261367108
1.934,0.037268,0.068820108
1.929,0.679089,0.710641108
1.924,0.165632,0.197184108
1.919,0.614907,0.646459108
1.914,0.293997,0.325549108
1.909,0.229815,0.261367108
1.904,0.358179,0.389731108
1.899,0.679089,0.710641108
1.895,0.293997,0.325549108
1.89,0.422361,0.453913108
1.885,-0.155278,-0.123725892
1.88,0.293997,0.325549108
1.875,0.614907,0.646459108
1.87,-0.091096,-0.059543892
1.865,-0.283642,-0.252089892
1.86,-0.540371,-0.508818892
1.855,-0.540371,-0.508818892
1.851,-0.412007,-0.380454892
1.846,-0.347825,-0.316272892
1.841,-0.155278,-0.123725892
1.836,-0.540371,-0.508818892
1.831,0.293997,0.325549108
1.826,0.229815,0.261367108
1.821,0.229815,0.261367108
1.816,-0.026914,0.004638108
1.812,0.165632,0.197184108
1.807,0.422361,0.453913108
1.802,0.10145,0.133002108
1.797,-0.155278,-0.123725892
1.792,0.614907,0.646459108
1.787,0.293997,0.325549108
1.782,-0.604553,-0.573000892
1.777,-0.155278,-0.123725892
1.772,-0.347825,-0.316272892
1.768,-0.026914,0.004638108
1.763,-0.091096,-0.059543892
1.758,-0.989646,-0.958093892
1.753,-0.283642,-0.252089892
1.748,-0.155278,-0.123725892
1.743,-0.283642,-0.252089892
1.738,-0.283642,-0.252089892
1.733,0.037268,0.068820108
1.729,-0.668735,-0.637182892
1.724,-0.476189,-0.444636892
1.719,-0.732917,-0.701364892
1.714,-0.925464,-0.893911892
1.709,-0.797099,-0.765546892
1.704,-0.091096,-0.059543892
1.699,0.10145,0.133002108
1.694,-0.283642,-0.252089892
1.689,-0.21946,-0.187907892
1.685,-0.091096,-0.059543892
1.68,-0.091096,-0.059543892
1.675,0.037268,0.068820108
1.67,-0.412007,-0.380454892
1.665,-0.540371,-0.508818892
1.66,-0.604553,-0.573000892
1.655,0.165632,0.197184108
1.65,-0.668735,-0.637182892
1.646,-0.412007,-0.380454892
1.641,-0.732917,-0.701364892
1.636,-0.155278,-0.123725892
1.631,-0.604553,-0.573000892
1.626,-0.347825,-0.316272892
1.621,-0.412007,-0.380454892
1.616,0.165632,0.197184108
1.611,-0.091096,-0.059543892
1.606,0.358179,0.389731108
1.602,-0.347825,-0.316272892
1.597,-0.155278,-0.123725892
1.592,-0.540371,-0.508818892
1.587,-0.347825,-0.316272892
1.582,0.229815,0.261367108
1.577,-0.412007,-0.380454892
1.572,0.422361,0.453913108
1.567,0.358179,0.389731108
1.563,-0.155278,-0.123725892
1.558,-0.283642,-0.252089892
1.553,-0.283642,-0.252089892
1.548,-0.21946,-0.187907892
1.543,-0.091096,-0.059543892
1.538,0.165632,0.197184108
1.533,0.10145,0.133002108
1.528,-0.283642,-0.252089892
1.523,-0.925464,-0.893911892
1.519,-0.347825,-0.316272892
1.514,-0.347825,-0.316272892
1.509,-0.604553,-0.573000892
1.504,0.10145,0.133002108
1.499,0.165632,0.197184108
1.494,0.165632,0.197184108
1.489,-0.091096,-0.059543892
1.484,0.10145,0.133002108
1.479,0.037268,0.068820108
1.475,0.037268,0.068820108
1.47,0.293997,0.325549108
1.465,0.293997,0.325549108
1.46,0.293997,0.325549108
1.455,0.679089,0.710641108
1.45,0.871636,0.903188108
1.445,-0.026914,0.004638108
1.44,0.807454,0.839006108
1.436,0.614907,0.646459108
1.431,0.807454,0.839006108
1.426,0.871636,0.903188108
1.421,-0.091096,-0.059543892
1.416,-0.155278,-0.123725892
1.411,0.165632,0.197184108
1.406,-0.283642,-0.252089892
1.401,0.422361,0.453913108
1.396,-0.091096,-0.059543892
1.392,-0.412007,-0.380454892
1.387,-0.604553,-0.573000892
1.382,-0.21946,-0.187907892
1.377,-0.347825,-0.316272892
1.372,0.037268,0.068820108
1.367,0.358179,0.389731108
1.362,0.229815,0.261367108
1.357,0.10145,0.133002108
1.353,0.486543,0.518095108
1.348,0.550725,0.582277108
1.343,0.422361,0.453913108
1.338,0.165632,0.197184108
1.333,0.358179,0.389731108
1.328,0.037268,0.068820108
1.323,0.037268,0.068820108
1.318,0.10145,0.133002108
1.313,-0.21946,-0.187907892
1.309,0.037268,0.068820108
1.304,-0.155278,-0.123725892
1.299,-0.091096,-0.059543892
1.294,-0.347825,-0.316272892
1.289,0.165632,0.197184108
1.284,0.037268,0.068820108
1.279,-0.283642,-0.252089892
1.274,0.229815,0.261367108
1.27,-0.347825,-0.316272892
1.265,-0.347825,-0.316272892
1.26,0.165632,0.197184108
1.255,0.293997,0.325549108
1.25,-0.155278,-0.123725892
1.245,-0.155278,-0.123725892
1.24,0.486543,0.518095108
1.235,0.10145,0.133002108
1.23,-0.283642,-0.252089892
1.226,-0.283642,-0.252089892
1.221,-0.540371,-0.508818892
1.216,-0.925464,-0.893911892
1.211,0.037268,0.068820108
1.206,-0.026914,0.004638108
1.201,-0.732917,-0.701364892
1.196,-0.989646,-0.958093892
1.191,-1.11801,-1.086457892
1.187,-0.989646,-0.958093892
1.182,-0.476189,-0.444636892
1.177,-0.540371,-0.508818892
1.172,-0.347825,-0.316272892
1.167,-0.604553,-0.573000892
1.162,0.10145,0.133002108
1.157,0.037268,0.068820108
1.152,-0.540371,-0.508818892
1.147,-0.155278,-0.123725892
1.143,-0.604553,-0.573000892
1.138,-0.476189,-0.444636892
1.133,-0.026914,0.004638108
1.128,-0.540371,-0.508818892
1.123,0.229815,0.261367108
1.118,0.10145,0.133002108
1.113,-0.604553,-0.573000892
1.108,-0.155278,-0.123725892
1.104,-0.797099,-0.765546892
1.099,0.037268,0.068820108
1.094,-0.091096,-0.059543892
1.089,0.037268,0.068820108
1.084,0.10145,0.133002108
1.079,-0.476189,-0.444636892
1.074,0.422361,0.453913108
1.069,0.037268,0.068820108
1.064,-0.155278,-0.123725892
1.06,-0.21946,-0.187907892
1.055,-0.347825,-0.316272892
1.05,-0.604553,-0.573000892
1.045,-0.026914,0.004638108
1.04,0.037268,0.068820108
1.035,-0.091096,-0.059543892
1.03,0.229815,0.261367108
1.025,0.10145,0.133002108
1.021,0.293997,0.325549108
1.016,0.614907,0.646459108
1.011,0.358179,0.389731108
1.006,-0.091096,-0.059543892
1.001,0.935818,0.967370108
0.996,0.293997,0.325549108
0.991,0.037268,0.068820108
0.986,-0.026914,0.004638108
0.981,0.037268,0.068820108
0.977,0.165632,0.197184108
0.972,-0.21946,-0.187907892
0.967,-0.026914,0.004638108
0.962,0.358179,0.389731108
0.957,0.614907,0.646459108
0.952,0.679089,0.710641108
0.947,-0.283642,-0.252089892
0.942,0.165632,0.197184108
0.938,0.10145,0.133002108
0.933,0.10145,0.133002108
0.928,0.486543,0.518095108
0.923,0.293997,0.325549108
0.918,0.614907,0.646459108
0.913,0.614907,0.646459108
0.908,0.037268,0.068820108
0.903,1.064182,1.095734108
0.898,0.807454,0.839006108
0.894,0.550725,0.582277108
0.889,0.486543,0.518095108
0.884,-0.21946,-0.187907892
